event_id,category_id,name,time
cxchpmywhbbc,22,Sacred Sound Immersion Meditation,2017-05-20 23:30:00
238774419,22,Dana Croy at the Galactic Expo,2017-05-20 15:00:00
240004482,22,Galactic Expo,2017-05-20 15:00:00
pnbgflywhbxb,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-05-18 23:30:00
cwpwzmywhbwb,22,Cosmic Connections-Synchronizing with the Stars for a Stellar Life,2017-05-18 00:00:00
hzkttlywhbwb,22,Develop Your Intuition: Practice Time!,2017-05-17 23:45:00
239736276,22,Learn How to Cook for Your Dog & Cat (Food Therapy for Pets),2017-05-17 23:00:00
hctshlywhbtb,22,"Reiki & Sound with Robin - Franklin, TN",2017-05-15 23:30:00
239106803,22,Pendulum Divination,2017-05-14 21:30:00
pnbgflywhbpb,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-05-11 23:30:00
239290546,22,Breathing Techniques for Enlightenment and Physical Health (FREE),2017-05-11 00:00:00
cwpwzmywhbnb,22,Cosmic Connections-Synchronizing with the Stars for a Stellar Life,2017-05-11 00:00:00
hzkttlywhbnb,22,Develop Your Intuition: Practice Time!,2017-05-10 23:45:00
239673734,22,Gathering With Archangel Michael at Cosmic Connections Saturday May 6th,2017-05-06 16:30:00
238651724,22,Usui Tibetan Reiki Levels 1&2 Certification Class - 12 LMT CEU's,2017-05-06 15:00:00
239442492,22,Connecting with the Angelic Realm w/ Michael Lott,2017-05-06 00:00:00
pnbgflywhbgb,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-05-04 23:30:00
239706962,22,Cosmic Connections: Synchronizing with the Stars for a Stellar Life!,2017-05-04 00:00:00
hzkttlywhbfb,22,Develop Your Intuition: Practice Time!,2017-05-03 23:45:00
hctshlywhbcb,22,"Reiki & Sound with Robin - Franklin, TN",2017-05-01 23:30:00
239300630,22,Join us for Kundalini Yoga with Lori Miles,2017-04-30 21:00:00
239418529,22,Co-Create Your Fate!,2017-04-29 20:00:00
pnbgflywgbkc,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-04-27 23:30:00
hzkttlywgbjc,22,Develop Your Intuition: Practice Time!,2017-04-26 23:45:00
hctshlywgbgc,22,"Reiki & Sound with Robin - Franklin, TN",2017-04-24 23:30:00
239295455,22,Earth Day Sound Healing Journey with gongs and bowls,2017-04-22 23:30:00
238998582,22,Accelerated Mediumship and Intuitive Development,2017-04-22 15:00:00
pnbgflywgbbc,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-04-20 23:30:00
hzkttlywgbzb,22,Develop Your Intuition: Practice Time!,2017-04-19 23:45:00
238836381,22,Free Pet CPR & Emergency Care Class,2017-04-19 23:00:00
hctshlywgbwb,22,"Reiki & Sound with Robin - Franklin, TN",2017-04-17 23:30:00
cxchpmywgbtb,22,Sacred Sound Immersion Meditation,2017-04-15 23:30:00
cpqkpmywgbtb,22,Spirit Cafe: The Ascension with L'Vereese Britten,2017-04-15 23:00:00
237991665,22,iiEnergyWorks Metaphysical Fair:  Spring 2017,2017-04-15 15:00:00
pnbgflywgbrb,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-04-13 23:30:00
238813950,22,Mantras and Mudras to Transform Your Life (FREE),2017-04-13 00:00:00
hzkttlywgbqb,22,Develop Your Intuition: Practice Time!,2017-04-12 23:45:00
238782225,22,Full Pink Moon Sound Healing w Gongs and Bowls,2017-04-12 00:00:00
238984638,22,"Clarksville Meditation, ""In the Symphony of Oneness""",2017-04-09 22:15:00
238984555,22,"Clarksville Meditation, ""In the Symphony of Oneness""",2017-04-08 22:15:00
238516478,22,Reiki 2 Certification - Usui Shiki Ryoho - 4 LMT CEU's,2017-04-08 18:00:00
238960586,22,Gathering with Archangel Michael with Trance Channel Jeff Fasano,2017-04-08 16:30:00
238984356,22,Saturday & Sunday CrystalNrgs Event in   Clarksville!,2017-04-08 15:30:00
